pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms,noise_ms,observed_travel_time_ms,observed_travel_time_s,predicted_travel_time_ms,travel_time_residual_ms
34,25.0,0.0,30.0,0.0,5.0,0.0093896581659489,9.389658165948996,0.150737664118115,9.54039583006711,0.0095403958300671,9.034677803265376,0.505718026801734
35,25.0,0.0,34.0,0.0,9.0,0.0169013846987082,16.901384698708203,-0.6414710688802071,16.259913629827995,0.0162599136298279,16.199938576350174,0.05997505347782095
36,25.0,0.0,38.0,0.0,13.0,0.0244131112314674,24.413111231467408,-0.2740997586997311,24.13901147276768,0.0241390114727676,23.6854040917811,0.4536073809865826
37,25.0,0.0,42.0,0.0,17.0,0.0319248377642266,31.9248377642266,0.9473441502280862,32.872181914454686,0.0328721819144546,31.43073546855235,1.4414464459023364
38,25.0,0.0,46.0,0.0,21.0,0.0394365642969858,39.43656429698581,-0.8856886977855521,38.55087559920025,0.0385508755992002,39.165183818068044,-0.6143082188677909
39,25.0,0.0,50.0,0.0,25.0,0.046948290829745,46.94829082974501,-1.412125029444144,45.53616580030087,0.0455361658003008,46.52331947744823,-0.9871536771473615
40,25.0,0.0,54.0,0.0,29.0,0.0544600173625042,54.46001736250421,2.3347628547587664,56.794780217262975,0.0567947802172629,54.79662438272217,1.9981558345408033
41,25.0,0.0,58.0,0.0,33.0,0.0619717438952634,61.971743895263415,-0.5230729512508175,61.4486709440126,0.0614486709440126,62.36230860596369,-0.9136376619510926
42,25.0,0.0,62.0,0.0,37.0,0.0694834704280226,69.48347042802264,-0.2984672883839943,69.18500313963865,0.0691850031396386,69.05536899925094,0.12963414038770793
43,25.0,0.0,66.0,0.0,41.0,0.0760478287655149,76.04782876551491,1.9766910390323005,78.02451980454721,0.0780245198045472,73.9657692837154,4.058750520831808
44,25.0,0.0,70.0,0.0,45.0,0.0785669294104918,78.56692941049188,-1.374860836741163,77.19206857375072,0.0771920685737507,76.90808476749906,0.28398380625165487
45,25.0,0.0,74.0,0.0,49.0,0.0816044268110354,81.60442681103541,-0.3622837958475966,81.2421430151878,0.0812421430151878,80.43263987447108,0.8095031407167284
46,25.0,0.0,78.0,0.0,53.0,0.0840672240167862,84.06722401678627,-0.6038449965125521,83.46337902027372,0.0834633790202737,83.70877887175322,-0.2453998514795046
47,25.0,0.0,82.0,0.0,57.0,0.0877029407702802,87.7029407702802,-0.8810224722313919,86.8219182980488,0.0868219182980488,87.2764251979806,-0.4545068999318005
48,25.0,0.0,86.0,0.0,61.0,0.091077433572561,91.07743357256108,-0.982390019571056,90.09504355299002,0.09009504355299,91.19078023775106,-1.095736684761036
